Wavelength (microns),Irradiance (Watts/m^2/micron)
2.8225,310000.0
2.8275,308100.0
2.8325,306000.0
2.8375,304000.0
2.8425,302100.0
2.8475,300100.0
2.8525,298100.00000000006
2.8575,296300.0
2.8625,294400.0
2.8675,292400.0
2.8725,290500.0
2.8775,288700.0
2.8825,287000.0
2.8875,285100.0
2.8925,283300.0
2.8975,281400.0
2.9025,279700.0
2.9075,277900.0
2.9125,276200.0
2.9175,274500.0
2.9225,272700.0
2.9275,271000.0
2.9325,269200.00000000006
2.9375,267600.0
2.9425,265900.0
2.9475,264200.0
2.9525,262600.0
2.9575,261000.00000000003
2.9625,259399.99999999997
2.9675,257800.0
2.9725,256200.0
2.9775,254600.0
2.9825,253100.0
2.9875,251500.0
2.9925,250000.0
2.9975,248500.0
3.005,247000.0
3.015,243899.99999999997
3.025,241000.0
3.035,238000.00000000003
3.045,235200.0
3.055,232300.0
3.065,229599.99999999997
3.075,226899.99999999997
3.085,224100.0
3.095,221400.0
3.105,218900.0
3.115,216300.0
3.125,213700.0
3.135,211300.0
3.145,208800.00000000003
3.155,206400.0
3.165,204000.00000000003
3.175,201700.0
3.185,199300.0
3.195,197099.99999999997
3.205,194700.0
3.215,192500.0
3.225,190200.0
3.235,188100.0
3.245,185999.99999999997
3.255,183900.0
3.265,181800.00000000003
3.275,179700.0
3.285,177900.0
3.295,175900.00000000003
3.305,174000.0
3.315,172000.0
3.325,170100.0
3.335,168299.99999999997
3.345,166400.00000000003
3.355,164600.00000000003
3.365,162700.0
3.375,161000.0
3.385,159200.0
3.395,157500.0
3.405,155800.00000000003
3.415,154200.0
3.425,152500.0
3.435,150900.0
3.445,149300.0
3.455,147699.99999999997
3.465,146100.0
3.475,144600.0
3.485,143100.0
3.495,141500.0
3.505,140000.0
3.515,138600.0
3.525,137100.00000000003
3.535,135700.0
3.545,134300.0
3.555,132800.00000000003
3.565,131600.0
3.575,130300.00000000001
3.585,128900.0
3.595,127599.99999999999
3.605,126200.00000000001
3.615,124900.00000000001
3.625,123800.0
3.635,122600.0
3.645,121300.0
3.655,120000.0
3.665,118800.0
3.675,117700.00000000001
3.685,116500.0
3.695,115300.0
3.705,114200.0
3.715,113099.99999999999
3.725,112000.0
3.735,110800.0
3.745,109800.0
3.755,108700.0
3.765,107700.0
3.775,106700.0
3.785,105600.0
3.795,104599.99999999999
3.805,103700.00000000001
3.815,102600.0
3.825,101599.99999999999
3.835,100600.0
3.845,99659.99999999999
3.855,98760.00000000001
3.865,97760.0
3.875,96860.0
3.885,95870.0
3.895,94970.0
3.905,94170.0
3.915,93270.0
3.925,92370.0
3.935,91470.0
3.945,90770.0
3.955,89870.0
3.965,88980.0
3.975,88180.00000000001
3.985,87379.99999999999
3.995,86579.99999999999
4.005,85980.00000000001
4.015,85080.0
4.025000000000001,84079.99999999999
4.035,83279.99999999999
4.045,82379.99999999999
4.055,81590.00000000001
4.065000000000001,80790.00000000001
4.075,79989.99999999999
4.085,79090.00000000001
4.095,78390.0
4.105,77590.0
4.115,76790.00000000001
4.125,75990.0
4.135,75390.0
4.145,74500.0
4.155,73800.0
4.165,73200.0
4.175,72400.00000000001
4.185,71700.0
4.195,70900.00000000001
4.205,70300.0
4.215,69500.0
4.225,68900.0
4.235,68300.0
4.245,67610.0
4.255,67010.0
4.265,66210.0
4.275,65710.0
4.285,65110.0
4.295,64410.0
4.305,63810.00000000001
4.315,63209.99999999999
4.325,62610.0
4.335,62110.00000000001
4.345,61410.0
4.355,60910.0
4.365,60320.0
4.375,59720.00000000001
4.385,59120.0
4.395,58719.99999999999
4.405,58020.00000000001
4.415,57620.0
4.425,57020.00000000001
