wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
10900.0,5.7287,0.58028,2.4012e+16,0.3848,0.98741,90.0
11000.0,6.4575,0.70922,2.7067e+16,0.37947,0.98456,90.0
11100.0,7.1337,0.84635,2.9902e+16,0.37477,0.9814,90.0
11200.0,7.7131,0.97837,3.233e+16,0.37062,0.97821,90.0
11300.0,8.2186,1.1056,3.4449e+16,0.36682,0.975,90.0
11400.0,8.6492,1.2233,3.6254e+16,0.36318,0.97195,90.0
11500.0,9.0192,1.3339,3.7805e+16,0.35977,0.96897,90.0
11600.0,9.3355,1.4375,3.9131e+16,0.35653,0.96608,90.0
11700.0,9.6114,1.5364,4.0287e+16,0.35345,0.96343,91.0
11800.0,9.8636,1.6335,4.1345e+16,0.35045,0.96081,91.0
11900.0,10.08,1.7256,4.225e+16,0.34759,0.95827,91.0
12000.0,10.247,1.8103,4.2951e+16,0.34498,0.95587,91.0
12100.0,10.366,1.8872,4.3451e+16,0.34259,0.95371,92.0
12200.0,10.448,1.9583,4.3795e+16,0.3404,0.95187,92.0
12300.0,10.501,2.0242,4.4015e+16,0.33834,0.95013,92.0
12400.0,10.518,2.0835,4.4089e+16,0.33643,0.94855,92.0
12500.0,10.495,2.1338,4.3991e+16,0.33469,0.94746,93.0
12600.0,10.441,2.1775,4.3764e+16,0.33306,0.94658,93.0
12700.0,10.36,2.2161,4.3426e+16,0.33156,0.94581,93.0
12800.0,10.259,2.2501,4.3003e+16,0.33014,0.94531,94.0
12900.0,10.138,2.2789,4.2493e+16,0.32878,0.94507,94.0
13000.0,10.0,2.3027,4.1918e+16,0.32743,0.94493,94.0
13100.0,9.8403,2.3193,4.1247e+16,0.32609,0.94497,94.0
13200.0,9.6464,2.3261,4.0434e+16,0.3248,0.94556,95.0
13300.0,9.4294,2.3253,3.9524e+16,0.32348,0.94634,95.0
13400.0,9.2001,2.3191,3.8563e+16,0.3221,0.94723,95.0
13500.0,8.9824,2.3107,3.7651e+16,0.32054,0.94812,95.0
13600.0,8.761,2.2995,3.6723e+16,0.31892,0.94912,96.0
13700.0,8.5356,2.2866,3.5778e+16,0.31728,0.95023,96.0
13800.0,8.3018,2.2721,3.4798e+16,0.31564,0.95133,96.0
13900.0,8.0587,2.2542,3.3779e+16,0.31395,0.95248,96.0
14000.0,7.8007,2.232,3.2698e+16,0.31222,0.95371,96.0
14100.0,7.5323,2.2044,3.1573e+16,0.31036,0.95504,96.0
14200.0,7.2544,2.1711,3.0408e+16,0.30835,0.95649,96.0
14300.0,6.9682,2.1298,2.9208e+16,0.3061,0.95813,96.0
