Wavelengths (microns),C_extinction,C_scattering,kappa,g,Pmax,Thetmax
7.7,5.8849,3.5284,2.4667e+16,0.61253,0.84135,99.0
7.8,5.69,3.4341,2.385e+16,0.6064,0.84882,99.0
7.9,5.4615,3.3356,2.2892e+16,0.6002,0.85641,99.0
8.0,5.2024,3.222,2.1807e+16,0.59391,0.86469,99.0
8.1,4.9124,3.0895,2.0591e+16,0.58751,0.87381,99.0
8.2,4.6142,2.9326,1.9341e+16,0.58098,0.88393,99.0
8.3,4.3467,2.7594,1.822e+16,0.57438,0.89449,99.0
8.4,4.1682,2.5856,1.7471e+16,0.5678,0.9048,98.0
8.5,4.0259,2.4287,1.6875e+16,0.5612,0.91379,98.0
8.6,3.8822,2.2928,1.6273e+16,0.55458,0.92137,98.0
8.7,3.7482,2.1633,1.5711e+16,0.5479,0.92829,98.0
8.8,3.6252,2.0381,1.5195e+16,0.54117,0.93491,97.0
8.9,3.5138,1.9187,1.4729e+16,0.5344,0.94095,97.0
9.0,3.4133,1.806,1.4307e+16,0.52761,0.94638,97.0
9.1,3.319,1.6994,1.3912e+16,0.52079,0.95126,97.0
9.2,3.218,1.5963,1.3489e+16,0.51391,0.95594,96.0
9.3,3.1089,1.4949,1.3031e+16,0.50696,0.96034,96.0
9.4,2.9998,1.3966,1.2574e+16,0.49997,0.96436,96.0
9.5,2.8869,1.2958,1.2101e+16,0.49286,0.96818,96.0
9.6,2.7633,1.1871,1.1583e+16,0.48552,0.97219,95.0
9.7,2.6415,1.0771,1.1072e+16,0.47804,0.97597,95.0
9.8,2.531,0.96876,1.0609e+16,0.47045,0.97934,95.0
9.9,2.4439,0.85734,1.0244e+16,0.46264,0.98261,94.0
10.0,2.4001,0.74431,1.006e+16,0.45459,0.98564,94.0
10.1,2.4183,0.63893,1.0137e+16,0.44645,0.988,93.0
10.2,2.5097,0.54595,1.0519e+16,0.43828,0.99008,93.0
10.3,2.6473,0.46382,1.1097e+16,0.42997,0.9915,93.0
10.4,2.8606,0.39875,1.199e+16,0.42162,0.99259,92.0
